entity_id,entity_name,exchange,exchange_ticker,industry_classification,primary_industry,2nd_level_primary_industry,name,region,is_eu
4093924,SSE plc (LSE:SSE),LSE,LSE:SSE,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4511210,TAURON Polska Energia S.A. (WSE:TPE),WSE,WSE:TPE,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
7588683,Toplofikatsia-Burgas AD (BUL:TPLB),BUL,BUL:TPLB,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,Bulgarian Stock Exchange,Bulgaria,Y
5001062,VERBUND AG (WBAG:VER),WBAG,WBAG:VER,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,Wiener Börse AG (Vienna Stock Exchange),Austria,Y
4539460,Zespól Elektrowni Patnów-Adamów-Konin S.A. (WSE:ZEP),WSE,WSE:ZEP,Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4825275,EnBW Energie Baden-Württemberg AG (XTRA:EBK),XTRA,XTRA:EBK,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Deutsche Börse Xetra,Germany,Y
4072853,Enel SpA (BIT:ENEL),BIT,BIT:ENEL,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Borsa Italiana,Italy,Y
4157528,Public Power Corporation S.A. (ATSE:PPC),ATSE,ATSE:PPC,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Athens Stock Exchange,Greece,Y
4101540,Electricité de France S.A. (ENXTPA:EDF),ENXTPA,ENXTPA:EDF,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Euronext Paris,France,Y
4632323,ENEA S.A. (WSE:ENA),WSE,WSE:ENA,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
