entity_id,year,biomass,coal,geothermal,hydroelectric,landfill_gas,liquid_nat_gas,nat_gas,nuclear,petroleum_oil,solar,wave_and_tidal,wind
4072853,2020.0,1.0,13155.0,6167.0,62437.0,,,55258.0,25839.0,7496.0,5763.0,,30992.0
4072853,2021.0,40.0,13858.0,6086.0,57001.0,,,67016.0,25504.0,7411.0,7899.0,,37791.0
4072853,2005.0,200.0,38301.0,5012.0,27783.0,,,38884.04,,14237.96,3.95,,1265.05
4072853,2006.0,156.39,37355.04,5195.0,30486.0,,,32744.71,10692.0,13552.86,4.26,,1239.74
4072853,2007.0,13.87,40661.72,5233.0,27983.0,,,32902.79,4052.0,7030.62,5.0,,728.0
4072853,2008.0,239.13,111100.0,5240.0,64300.0,,,33420.27,32900.0,1340.6,,,4600.0
5001099,2013.0,692.0,3088.0,,1037.0,,,,,,,,151.0
5001099,2014.0,663.0,3262.0,,871.0,,,,,,,,308.0
5001099,2015.0,633.0,2357.0,,724.0,,,,,,4.0,,419.0
5001099,2016.0,39.0,2694.0,,837.0,,,,,,5.0,,371.0
5001099,2017.0,40.33,2461.14,,1029.85,,,,,,5.73,,461.78
5001099,2018.0,15.15,2427.14,,804.51,,,,,,5.33,,376.02
5001099,2019.0,188.0,1943.59,,740.38,,,,,,5.08,,438.47
5001099,2020.0,179.96,1513.05,,788.3,,,,,,4.9,,474.44
5001099,2021.0,76.13,2386.21,,935.07,,,,,,4.87,,453.47
5001154,2013.0,116.29,370.68,,915.41,,,1013.32,,,8.95,,596.36
5001154,2014.0,106.26,832.95,,833.75,,,1353.05,,,13.62,,580.36
5001154,2015.0,122.33,1119.86,,959.82,,,1582.14,,,15.68,,784.17
5001154,2016.0,113.66,1556.28,,891.76,,,2198.72,,,14.7,,781.02
5001154,2017.0,156.68,1770.55,,1089.63,,,2501.45,,,17.8,,957.88
5001154,2018.0,155.93,1461.37,,1084.41,,,2064.63,,,17.72,,1126.94
5001154,2019.0,132.35,1291.2,,1041.84,,,2120.48,,,20.36,,1245.45
5001154,2020.0,128.81,650.53,,1013.95,,,1068.34,,,23.12,,1212.12
4306247,2012.0,1462.0,3655.0,,24854.0,,,19737.0,23392.0,,,,
4306247,2013.0,9400.0,10300.0,,17900.0,,,46100.0,23700.0,200.0,800.0,,
4306247,2014.0,3600.0,8700.0,,22300.0,,,49200.0,23800.0,100.0,200.0,,
4306247,2015.0,3500.0,7900.0,,25000.0,,,48300.0,22700.0,100.0,300.0,,
4306247,2016.0,4184.69,7500.0,,20700.0,,,44000.0,24100.0,,0.83,,114.48
4306247,2017.0,2700.0,7400.0,,20700.0,,,43900.0,23000.0,,300.0,,200.0
4306247,2018.0,6500.0,6900.0,,19100.0,,,47600.0,22800.0,,122.27,,677.73
4306247,2019.0,6800.0,7000.0,,20300.0,,,43900.0,23500.0,,416.49,,283.51
4306247,2020.0,7904.85,41419.65,,40477.71,,,114625.14,32905.98,,2095.67,,3852.09
4306247,2021.0,6903.15,54521.32,,45533.85,,,151963.71,40030.27,,4461.83,,2403.92
4102079,2012.0,,15610.0,,12590.39,,,49081.0,26026.0,,240.1,,30848.51
