entity_id,year,absolute_ghg_scope_1,absolute_ghg_scope_2,intensity_ghg_scope_1,intensity_ghg_scope_2
4098284,2012.0,53442590.23,656562.6977,1288.772945,15.83306943
4098284,2013.0,46787507.98,702578.7282,1187.508943,17.83207867
4098284,2014.0,31859810.01,581796.7532,1173.201059,21.42399992
4098284,2015.0,33308957.37,811230.4453,1557.869015,37.94146903
4098284,2016.0,29857300.76,805890.0,1473.870952,39.78182326
4098284,2017.0,34801769.12,707004.0,1482.048969,30.10808289
4098284,2018.0,31292645.09,591547.0,1355.914926,25.63181874
4098284,2019.0,17476356.37,418057.0,810.6298274,19.3913117
4098284,2020.0,10298310.0,457184.0,542.752,24.095
4098284,2021.0,10812036.0,433811.0,445.405,17.871
4632323,2009.0,518721.7274,1072.137548,207.1102075,0.428072738
4632323,2010.0,521519.6034,1086.403418,200.8946907,0.418493719
4632323,2011.0,12197864.05,1433.461804,3397.702782,0.399289346
4632323,2012.0,10724839.83,1239.766396,3393.975266,0.392335601
4632323,2013.0,11551619.18,1143.861217,3902.684799,0.386450567
4632323,2014.0,12566577.59,1444.33451,3942.514714,0.453131333
4632323,2015.0,13029431.45,6301.972484,4875.359328,2.35807529
4632323,2016.0,14222035.73,19494.44871,4876.597477,6.684456514
4632323,2017.0,13102544.04,11313.15838,4248.542325,3.66832823
4632323,2018.0,16704959.04,6769.871282,4762.849514,1.930197977
4632323,2019.0,19299763.53,7529.426,4689.896,1.83
4632323,2020.0,17187024.74,6613.674,3686.539,1.419
4072853,2004.0,76501487.25,228615.6751,1760.248237,5.260294321
4072853,2005.0,69687968.78,59269.5269,1734.597755,1.475273136
4072853,2006.0,65785041.63,56647.24344,1295.379511,1.115446257
4072853,2007.0,63237934.37,63225.52717,991.8740897,0.991679485
4072853,2008.0,111022894.5,96802.8402,1302.86195,1.135988552
4072853,2009.0,122265382.4,86607.3894,1330.791061,0.94267353
4072853,2010.0,116404744.1,244996.0,1222.732263,2.573473409
4072853,2011.0,123540191.5,331641.0,1117.1798,2.999045262
4072853,2012.0,127801266.7,1140337.0,1172.08738,10.4582266
4072853,2013.0,115543335.2,824540.0,1126.492486,8.038872276
4072853,2014.0,115507001.6,635830.0,1187.542828,6.537052695
4072853,2015.0,121438027.8,653912.0,1498.578347,8.06945223
4072853,2016.0,106694736.4,439000.0,1405.912943,5.784688194
4072853,2017.0,108787170.4,382790.0,1246.807191,4.387147151
4072853,2018.0,95801488.22,1089612.375,1109.943612,12.6241076
4072853,2019.0,69981891.32,5365386.0,808.0132078,61.94892238
4072853,2020.0,45254999.0,4990685.0,620.349,68.412
4072853,2021.0,51570264.63,4303184.0,518.508,43.266
5001099,2013.0,3432581.053,1513.251291,925.8896642,0.408177901
5001099,2014.0,3518689.319,1550.136986,1048.394429,0.461863732
5001099,2015.0,2573671.415,1488.182524,751.6797396,0.434646259
5001099,2016.0,2834967.58,1149.682962,1098.397801,0.445440451
5001099,2017.0,2844900.958,1342.637827,1021.163721,0.481933487
5001099,2018.0,2830233.442,1236355.0,989.2843998,432.1575372
5001099,2019.0,2307331.807,1112812.0,771.565066,372.1211062
5001099,2020.0,1869167.461,1086205.948,583.184,338.898
5001099,2021.0,2708029.489,972451.69,746.156,267.944
5001154,2004.0,6622240.775,5346.724131,5016.352149,4.050147374
5001154,2005.0,2331026.907,6801.315669,1701.926716,4.965768865
5001154,2006.0,2445984.349,8352.244697,913.3077742,3.118650378
5001154,2013.0,1795168.774,124017.5838,497.0378015,34.3373994
5001154,2014.0,2345388.608,167674.0,875.5965103,62.59720405
5001154,2015.0,2496737.446,351610.0,1020.685172,143.7408303
5001154,2016.0,3173057.256,323052.0,1396.140412,142.1423932
5001154,2017.0,2921250.221,297586.956,1195.49,121.784
5001154,2018.0,2622552.562,254518.0,1063.646289,103.2265778
5001154,2019.0,2871488.399,1153753.0,1154.736851,463.9688275
5001154,2020.0,1441727.544,1089202.0,604.589,456.757
4306247,2004.0,12294448.01,365699.5793,775.4303383,23.06525256
4306247,2005.0,6464344.996,2258.358802,1439.508891,0.502901311
4306247,2006.0,11074225.7,181596.04,1869.133876,30.65020701
4306247,2007.0,10579221.67,2911.906429,1615.570121,0.44468196
4306247,2008.0,17970505.06,308840.02,2289.352968,39.34468253
4306247,2009.0,22126798.81,183000.01,2837.543946,23.4679483
4306247,2010.0,25610999.99,104279.0,3074.051624,12.51645892
4306247,2011.0,23745900.02,206000.0,2771.379489,24.04222094
4306247,2012.0,20976500.05,146645.0036,2473.755599,17.29382394
4306247,2013.0,21699997.94,314000.0,2698.985983,39.05445526
4306247,2014.0,20484403.45,136000.0,3251.175867,21.58519865
4306247,2015.0,19334000.0,85399.00116,5040.46545,22.26392442
4306247,2016.0,18755700.0,95450.99838,4667.919646,23.75584972
4306247,2017.0,18489299.99,112602.962,3406.596,20.747
4306247,2018.0,20209810.02,94013.318,3266.736,15.196
4306247,2019.0,19270399.98,134102.93,3160.212,21.992
4306247,2020.0,49043500.0,632115.98,963.389,12.417
4306247,2021.0,69082100.0,650700.0,519.723,4.895
4102079,2004.0,17741380.44,46484.28052,1270.826495,3.329698918
4102079,2005.0,21071644.08,50933.79315,1520.242416,3.674687768
4102079,2006.0,22418513.75,121458.58,1542.861339,8.358883624
4102079,2007.0,37845908.12,100453.7677,1481.933846,3.933472487
4102079,2008.0,40868825.84,185104.817,1164.620464,5.27484833
4102079,2009.0,40314484.66,86760.02,1144.129677,2.462259273
4102079,2010.0,39716129.9,68769.98,986.2783185,1.707778185
4102079,2011.0,36376852.65,5188706.0,826.4886008,117.8883287
4102079,2012.0,35776205.07,7189301.0,814.3841087,163.6521391
4102079,2013.0,32101945.52,997121.0,737.0203272,22.8926451
4102079,2014.0,30484923.48,1059360.0,765.2576868,26.59292826
4102079,2015.0,31957747.74,970944.0,917.2495113,27.86798109
4102079,2016.0,25725610.74,788971.0,796.0044965,24.41242192
4102079,2017.0,26931548.06,3415197.0,717.4121437,90.97523083
4102079,2018.0,24568865.01,2544044.0,593.5052875,61.45597549
4102079,2019.0,13427104.76,2081745.0,329.164,51.034
4102079,2020.0,13016595.22,1890456.0,344.568,50.043
5001286,,,,,
5001102,,,,,
5001190,,,,,
5001261,,,,,
5001189,2009.0,52376363.76,3234.568976,6931.647957,0.428072738
5001189,2010.0,51346978.62,2838.593175,7570.083748,0.418493719
5001189,2011.0,55246721.49,3786.19451,5826.279456,0.399289346
5001189,2012.0,54991355.07,3681.378579,5860.594311,0.392335601
5001189,2013.0,57931834.67,3685.731206,6074.178805,0.386450567
5001189,2014.0,59776303.54,4033.837026,6714.826589,0.453131333
5001189,2015.0,59299721.83,4345.84172,7837.121623,0.5743516
5001189,2016.0,56925550.78,4836.096331,7643.863509,0.649382567
5001189,2017.0,58735144.99,5081.065807,9614.079034,0.831695712
5001189,2018.0,62896015.21,4586.10411,8758.819024,0.638655021
5001189,2019.0,61702030.38,5288.291,6294.585,0.539
5001189,2020.0,60634167.96,5859.027,5165.386,0.499
5001189,2021.0,70199885.0,2183836.0,5141.371,159.942
4157528,2004.0,64407241.12,3075.686052,11571.68033,0.552590907
4157528,2005.0,53376377.46,43330.83615,10545.7734,8.561037688
4157528,2006.0,51008422.73,45236.45354,8080.145408,7.165818953
4157528,2007.0,53468047.58,41118.81616,7106.039944,5.46479558
4157528,2008.0,53283766.6,35313.87522,6569.53181,4.35396447
4157528,2009.0,50313387.48,44657.51859,5815.17814,5.161477669
4157528,2010.0,47030838.16,40827.22033,6094.302554,5.290431616
4157528,2011.0,47421311.98,38733.86172,6455.728697,5.273057455
4157528,2012.0,47835183.06,32986.90213,6221.849985,4.29055652
4157528,2013.0,41783860.6,29315.5164,5266.4234,3.69491759
4157528,2014.0,40009096.2,4226.188872,5143.98828,0.543363087
4157528,2015.0,34953327.07,3688.627035,5495.428893,0.579932993
4157528,2016.0,28958046.01,3644.502552,4979.470657,0.62668916
4157528,2017.0,32315722.45,3599.249938,5915.103957,0.658810509
4157528,2018.0,30062226.78,4011.574179,5545.307029,0.7399788
4157528,2019.0,23562346.41,4815.137306,4267.884906,0.872173402
4157528,2020.0,15866573.48,3392.551,2994.19,0.64
5001070,2004.0,307855.5913,2511.003599,231.3346995,1.886866048
5001070,2005.0,34679.18836,4659.41,34.17780003,4.592044704
5001070,2006.0,58959.1477,1161446.0,47.07805816,927.3984525
5001070,2007.0,78651.0,1262420.0,52.261,838.834
5001070,2008.0,85764.4575,1340645.0,54.69358167,854.954126
5001070,2009.0,54276.1,865740.0,31.52178458,502.7934908
5001070,2010.0,63282.9588,726497.0,34.22640465,392.9237945
5001070,2011.0,68372.2192,804795.0,30.02619497,353.4320206
5001070,2012.0,77360.3192,880011.0,34.31267124,390.3232102
5001070,2013.0,83243.81633,735590.1875,35.66105572,315.1215768
5001070,2014.0,91550.81906,771774.25,37.37439339,315.0664813
5001070,2015.0,99774.8042,808347.0,46.40407985,375.9526168
5001070,2016.0,31681.794,819502.6428,14.82156187,383.3845117
5001070,2017.0,28971.8254,1000509.247,12.01651821,414.9768757
5001070,2018.0,39453.866,1119900.689,17.156,486.988
5001070,2019.0,23791.26604,283704.0,10.27997561,122.5857504
5001070,2020.0,25781.602,602705.0,11.07,258.791
5001070,2021.0,23699.849,648767.0,9.977,273.116
5001135,,,,,
5001246,2004.0,340295.6373,743.9426387,252.7671692,0.552590907
5001246,2005.0,277806.2417,607.3302284,230.0381517,0.502901311
5001246,2006.0,45712.10642,72660.1,27.0807922,43.04533795
5001246,2007.0,59137.82805,2204992.331,31.25248541,1165.269218
5001246,2008.0,89815.47711,2143167.625,46.22103046,1102.921448
5001246,2009.0,80569.91226,1840488.433,42.6295832,973.8034034
5001246,2010.0,71636.06428,1949684.711,35.3110349,961.0436526
5001246,2011.0,65039.9868,1857036.612,29.38913599,839.1253475
5001246,2012.0,70122.595,1841508.359,31.50545756,827.373309
5001246,2013.0,63918.2066,1736086.277,25.14620308,682.9975434
5001246,2014.0,75499.4904,1712588.916,29.60195508,671.474468
5001246,2015.0,66984.48797,1771267.722,30.02391594,793.9210226
5001246,2016.0,61702.408,1807994.299,27.442,804.103
5001246,2017.0,75533.778,1772097.345,28.802,675.728
5001246,2018.0,62797.812,1617767.595,23.415,603.198
5001246,2019.0,68488.221,1598901.848,26.091,609.114
5001246,2020.0,61497.229,1612109.1,21.722,569.43
5001062,2004.0,4685125.625,2311.817487,1119.879849,0.552590907
5001062,2005.0,3951432.268,1487.003989,1336.365258,0.502901311
5001062,2006.0,3826382.335,1795.631092,1007.714417,0.472896637
5001062,2007.0,3505339.219,1972.369044,790.2989134,0.44468196
5001062,2008.0,3072378.465,2253.504762,589.0894668,0.432080857
5001062,2009.0,2393674.917,2139.235288,478.9875058,0.428072738
5001062,2010.0,3293587.01,1830.257849,752.429362,0.418127635
5001062,2011.0,3993636.177,845057.3559,742.9074325,157.1999458
5001062,2012.0,3127419.729,1053372.792,767.0211548,258.3469074
5001062,2013.0,2814487.664,985510.6982,666.341298,233.3236298
5001062,2014.0,1789021.175,1016410.339,477.3400221,271.1948526
5001062,2015.0,1759550.825,1088782.0,534.315169,330.6257086
5001062,2016.0,1027566.734,908290.0,332.2399713,293.6745941
5001062,2017.0,1373338.003,451625.0,392.5865449,129.1028851
5001062,2018.0,1108015.302,411000.0,329.6597765,122.2818565
5001062,2019.0,1085552.823,392001.767,248.958,89.901
5001062,2020.0,662079.532,406000.018,179.205,109.892
5001062,2021.0,456989.287,146090.0,80.719,25.804
4539460,2013.0,6205710.087,1266.954396,6760.997087,1.380321488
4539460,2014.0,12739931.33,1996.67161,14999.5789,2.350815916
4539460,2015.0,11434926.71,1529.85755,14632.62685,1.957671896
4539460,2016.0,11614095.58,903.4531747,16951.95396,1.318681814
4539460,2017.0,10998025.28,1160.731868,17021.53438,1.796453171
4539460,2018.0,7332719.182,1057.27815,11495.30103,1.65746571
4539460,2019.0,4226335.364,968.0320855,6098.313233,1.396804174
4539460,2020.0,5562583.767,624.116,10699.721,1.2
