entity_id,tc_absolute_ghg_scope_1_cy2021,tc_absolute_ghg_scope_1_cy2020,tc_absolute_ghg_scope_1_cy2019,tc_absolute_ghg_scope_1_cy2018,tc_absolute_ghg_scope_1_cy2017,tc_absolute_ghg_scope_1_cy2016,tc_absolute_ghg_scope_1_cy2015,tc_absolute_ghg_scope_1_cy2014,tc_absolute_ghg_scope_1_cy2013,tc_absolute_ghg_scope_1_cy2012,tc_absolute_ghg_scope_1_cy2011,tc_absolute_ghg_scope_1_cy2010,tc_absolute_ghg_scope_1_cy2009,tc_absolute_ghg_scope_1_cy2008,tc_absolute_ghg_scope_1_cy2007,tc_absolute_ghg_scope_1_cy2006,tc_absolute_ghg_scope_1_cy2005,tc_absolute_ghg_scope_1_cy2004,tc_absolute_ghg_scope_2_cy2021,tc_absolute_ghg_scope_2_cy2020,tc_absolute_ghg_scope_2_cy2019,tc_absolute_ghg_scope_2_cy2018,tc_absolute_ghg_scope_2_cy2017,tc_absolute_ghg_scope_2_cy2016,tc_absolute_ghg_scope_2_cy2015,tc_absolute_ghg_scope_2_cy2014,tc_absolute_ghg_scope_2_cy2013,tc_absolute_ghg_scope_2_cy2012,tc_absolute_ghg_scope_2_cy2011,tc_absolute_ghg_scope_2_cy2010,tc_absolute_ghg_scope_2_cy2009,tc_absolute_ghg_scope_2_cy2008,tc_absolute_ghg_scope_2_cy2007,tc_absolute_ghg_scope_2_cy2006,tc_absolute_ghg_scope_2_cy2005,tc_absolute_ghg_scope_2_cy2004,tc_intensity_ghg_scope_1_cy2021,tc_intensity_ghg_scope_1_cy2020,tc_intensity_ghg_scope_1_cy2019,tc_intensity_ghg_scope_1_cy2018,tc_intensity_ghg_scope_1_cy2017,tc_intensity_ghg_scope_1_cy2016,tc_intensity_ghg_scope_1_cy2015,tc_intensity_ghg_scope_1_cy2014,tc_intensity_ghg_scope_1_cy2013,tc_intensity_ghg_scope_1_cy2012,tc_intensity_ghg_scope_1_cy2011,tc_intensity_ghg_scope_1_cy2010,tc_intensity_ghg_scope_1_cy2009,tc_intensity_ghg_scope_1_cy2008,tc_intensity_ghg_scope_1_cy2007,tc_intensity_ghg_scope_1_cy2006,tc_intensity_ghg_scope_1_cy2005,tc_intensity_ghg_scope_1_cy2004,tc_intensity_ghg_scope_2_cy2021,tc_intensity_ghg_scope_2_cy2020,tc_intensity_ghg_scope_2_cy2019,tc_intensity_ghg_scope_2_cy2018,tc_intensity_ghg_scope_2_cy2017,tc_intensity_ghg_scope_2_cy2016,tc_intensity_ghg_scope_2_cy2015,tc_intensity_ghg_scope_2_cy2014,tc_intensity_ghg_scope_2_cy2013,tc_intensity_ghg_scope_2_cy2012,tc_intensity_ghg_scope_2_cy2011,tc_intensity_ghg_scope_2_cy2010,tc_intensity_ghg_scope_2_cy2009,tc_intensity_ghg_scope_2_cy2008,tc_intensity_ghg_scope_2_cy2007,tc_intensity_ghg_scope_2_cy2006,tc_intensity_ghg_scope_2_cy2005,tc_intensity_ghg_scope_2_cy2004
4980119,,1389.55,1544.9071,,,,,,,,,,,,,,,,,126681.58,114002.5078,,,,,,,,,,,,,,,,,9.216,9.189978692,,,,,,,,,,,,,,,,,840.161,678.151209,,,,,,,,,,,,,,,
9757194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4353847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4986086,,921508,634320,13352.9069,10898.52696,9895.467821,,,,,,,,,,,,,,69278,52159,18202.90531,14848.61334,12333.63764,,,,,,,,,,,,,,1560.309,942.168,22.61249537,23.13560391,23.31628586,,,,,,,,,,,,,,117.302,77.473,30.82573068,31.52092372,29.06124563,,,,,,,,,,,,
13359820,,19120.889,,,,,,,,,,,,,,,,,,10322.198,,,,,,,,,,,,,,,,,,415.925,,,,,,,,,,,,,,,,,,224.532,,,,,,,,,,,,,,,,
5000729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6906533,,,233000,7361285.267,,,,,,,,,,,,,,,,,343000,567.0154873,,,,,,,,,,,,,,,,,192.817,6085.537523,,,,,,,,,,,,,,,,,283.847,0.468748853,,,,,,,,,,,,,,
4980345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4986120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8682355,2591.333116,,,,,,,,,,,,,,,,,,3278.114534,,,,,,,,,,,,,,,,,,323.975,,,,,,,,,,,,,,,,,,409.838,,,,,,,,,,,,,,,,,
4347750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
