entity_id,year,absolute_ghg_scope_1,absolute_ghg_scope_2,intensity_ghg_scope_1,intensity_ghg_scope_2,total_carbon_emission
4147764,2004.0,1360591.6,105613.4125,247.4302269,19.20631483,1466205.0125000002
4147764,2005.0,1289793.039,100051.8898,225.3110384,17.47783908,1389844.9288
4147764,2006.0,1670382.787,126135.6479,201.841385,15.24165244,1796518.4349
4147764,2007.0,1586783.642,35446.03,136.6794041,3.053183893,1622229.672
4147764,2008.0,1175414.112,167569.98,66.63606116,9.499803793,1342984.092
4147764,2009.0,991283.3094,138116.03,106.0930194,14.78199674,1129399.3394
4147764,2010.0,946823.6314,134544.01,114.2444723,16.23418439,1081367.6414
4147764,2011.0,686971.438,191736.6592,74.325431,20.74454489,878708.0972
4147764,2012.0,626603.5588,202212.2711,69.53157625,22.43865,828815.8299
4147764,2013.0,468109.3225,187241.2495,51.4153056,20.5658499,655350.572
4147764,2014.0,418503.118,182384.213,48.548,21.157,600887.331
4147764,2015.0,447409.358,327757.512,61.66,45.17,775166.87
4147764,2016.0,572991.612,57025.217,86.657,8.624,630016.8289999999
4147764,2017.0,681488.3029,676426.0,78.23905818,77.6578746,1357914.3029
4147764,2018.0,131684.6318,389045.0,14.85836084,43.89708134,520729.6318
4147764,2019.0,125636.643,105473.0,15.608,13.103,231109.64299999998
4147764,2020.0,98194.0,107663.0,11.865,13.009,205857.0
4098512,2004.0,24728613.95,13498.03,2519.533228,1.375278662,24742111.98
4098512,2005.0,28796631.06,11923.0,2522.738495,1.044518403,28808554.06
4098512,2006.0,25411396.81,18814.02,2019.954945,1.495528681,25430210.83
4098512,2007.0,24287038.85,11799.99,1510.94235,0.734099564,24298838.84
4098512,2008.0,19813650.24,1571027.98,1023.900401,81.18525154,21384678.22
4098512,2009.0,20260551.99,1274420.99,1157.657632,72.81850888,21534972.979999997
4098512,2010.0,14883012.24,179143.1708,793.6839174,9.553378798,15062155.4108
4098512,2011.0,17134663.19,1280398.0,806.6447021,60.27700992,18415061.19
4098512,2012.0,18267081.07,1454760.0,870.3563631,69.31373537,19721841.07
4098512,2013.0,16870229.51,2328203.0,789.106968,108.9019689,19198432.51
4098512,2014.0,16551219.95,2214333.0,765.8014161,102.4540398,18765552.95
4098512,2015.0,21573972.2,2634843.0,1253.797846,153.1271315,24208815.2
4098512,2016.0,18953343.5,564924.837,1173.933,34.99,19518268.337
4098512,2017.0,23158907.53,802192.461,1224.867,42.428,23961099.991
4098512,2018.0,18429223.89,601863.259,1022.084,33.379,19031087.149
4098512,2019.0,14362658.9,846220.0,895.118,52.739,15208878.9
4098512,2020.0,9310612.0,594400.8,656.26,41.896,9905012.8
4101540,2004.0,86213498.63,47247.23157,1353.919401,0.74198292,86260745.86157
4101540,2005.0,74088801.62,1157271.94,1230.016093,19.21293203,75246073.56
4101540,2006.0,99922702.91,51320.29217,1285.235332,0.660096763,99974023.20217
4101540,2007.0,80952539.9,51983.27483,929.8363689,0.597089845,81004523.17483
4101540,2008.0,99566089.21,51922.15642,1112.156878,0.579972397,99618011.36642
4101540,2009.0,82116516.35,54705.77634,862.7899468,0.574788069,82171222.12633999
4101540,2010.0,76161711.27,48461.25203,883.2254511,0.561991196,76210172.52203
4101540,2011.0,85282304.34,48701.73151,938.9827517,0.536220101,85331006.07151
4101540,2012.0,80323932.63,74004.0,831.8866601,0.766433345,80397936.63
4101540,2013.0,81815596.78,53090.0,815.2213404,0.528995725,81868686.78
4101540,2014.0,65389124.79,200193.0,676.4624317,2.071033127,65589317.79
4101540,2015.0,60204963.31,315520.0,723.8286524,3.793415091,60520483.31
4101540,2016.0,49958930.4,554340.0,665.8640585,7.388370392,50513270.4
4101540,2017.0,51318251.6,473902.9063,613.7672987,5.667888082,51792154.5063
4101540,2018.0,35699737.14,470025.0,438.5459709,5.773924025,36169762.14
4101540,2019.0,33090243.98,289242.736,414.465,3.623,33379486.716000002
4101540,2020.0,27690998.0,320773.0,351.959,4.077,28011771.0
5001290,2004.0,231163.1593,505.3609623,252.7671692,0.552590907,231668.5202623
5001290,2005.0,193796.8528,423.671859,230.0381517,0.502901311,194220.524659
5001290,2006.0,203042.5209,443.8846121,216.3132552,0.472896637,203486.4055121
5001290,2007.0,217274.7963,474.9987044,203.4072541,0.44468196,217749.7950044
5001290,2008.0,208677.269,454.8449957,198.233363,0.432080857,209132.1139957
5001290,2009.0,206125.0825,450.62361,195.809821,0.428072738,206575.70611
5001290,2010.0,236010.2206,520.2792225,189.8380537,0.418493719,236530.4998225
5001290,2011.0,298947.8066,659.809964,180.9106875,0.399289346,299607.616564
5001290,2012.0,280662.0756,618.7132326,177.9721499,0.392335601,281280.7888326
5001290,2013.0,307831.3089,678.6071962,175.3025677,0.386450567,308509.9160962
5001290,2014.0,183161.7489,472.1277177,175.7921096,0.453131333,183633.8766177
5001290,2015.0,151361.9984,372.8441619,174.9709941,0.430999289,151734.8425619
5001290,2016.0,148539.261,389.0055253,167.8280073,0.43952031,148928.2665253
5001290,2017.0,30471.1561,306512.0,32.63006441,328.2286458,336983.1561
