entity_id,year,absolute_ghg_scope_1,absolute_ghg_scope_2,intensity_ghg_scope_1,intensity_ghg_scope_2,exchange,is_eu,country
4006880,2010,6103391.12,700.3563378,3647.044673,0.418493719,NYSE,#N/A,United States
4006880,2011,7018206.727,679.0354393,4126.876172,0.399289346,NYSE,#N/A,United States
4006880,2012,6669986.557,526.6186359,4969.199736,0.392335601,NYSE,#N/A,United States
4006880,2013,6925474.864,536.3663745,4989.786491,0.386450567,NYSE,#N/A,United States
4006880,2014,6748069.767,650.6304521,4699.690647,0.453131333,NYSE,#N/A,United States
4006880,2015,6424756.525,620.2424417,4464.488892,0.430999289,NYSE,#N/A,United States
4006880,2016,6680521.215,599.0441632,4901.516347,0.43952031,NYSE,#N/A,United States
4006880,2017,6930102.617,687.443235,4795.918766,0.475739263,NYSE,#N/A,United States
4006880,2018,4519944.588,673.4092894,3146.257222,0.468748853,NYSE,#N/A,United States
4006880,2019,5649334.401,620.4418642,3875.778266,0.425659896,NYSE,#N/A,United States
4006880,2020,4400911.202,629.101,2889.61,0.413,NYSE,#N/A,United States
4007889,2004,35458279.89,10576.09216,3660.95779,1.091948822,NYSE,#N/A,United States
4007889,2005,33208614.16,8816.516367,3285.948216,0.872382572,NYSE,#N/A,United States
4007889,2006,35771359.98,10450.50205,3272.124877,0.955942066,NYSE,#N/A,United States
4007889,2007,32651573.29,9276.986996,2843.21808,0.807817036,NYSE,#N/A,United States
4007889,2008,33030544.87,15700000.03,2522.617253,1199.044433,NYSE,#N/A,United States
4007889,2009,30175487.95,12758383.13,2808.15846,1187.306783,NYSE,#N/A,United States
4007889,2010,33984312.6,817937.7043,2958.352638,71.20191583,NYSE,#N/A,United States
4007889,2011,34757653.92,812289,3095.327923,72.33804759,NYSE,#N/A,United States
4007889,2012,34827381.23,812825,3380.613179,78.89903893,NYSE,#N/A,United States
4007889,2013,34214241.06,891922,3003.638953,78.30106936,NYSE,#N/A,United States
4007889,2014,34185325.01,286296,2735.937886,22.91299184,NYSE,#N/A,United States
4007889,2015,31843319.01,316680,2765.797112,27.50569529,NYSE,#N/A,United States
